sources,sinks,Time-create-MCMF,Time-create-simplex,Time-run-MCMF,Time-run-simplex,,
50,100,0.008224487,0.014007092,0.292124271,0.065505981,,
50,200,0.133623838,0.019327641,0.684208393,0.123422861,,
50,300,0.029767036,0.028162003,1.200237751,0.204977274,,
50,400,0.03762579,0.03578186,1.699665785,0.286019564,,
50,500,0.051654339,0.044509649,2.288314342,0.384481907,,
50,600,0.053141356,0.052589893,2.944758177,0.445690393,,
50,700,0.167094231,0.06479001,3.41779542,0.509012938,,
50,800,0.071139336,0.072782993,4.243046284,0.564261436,,
50,900,0.077779293,0.082573175,4.90831852,0.674559832,,
50,1000,0.195977211,0.090240002,5.871784687,0.79118371,,
50,1200,0.110776663,0.109793186,7.525982141,0.889278889,,
50,1400,0.141705036,0.128358603,9.108345985,1.157123089,,
50,1600,0.14039588,0.145342827,11.52335358,1.348540068,,
50,1800,0.28415966,0.160349131,13.47666979,1.706978798,,
50,2000,0.183298588,0.315843821,15.76715016,1.674462318,,
50,2500,0.203148603,0.208240747,20.19546914,2.163968086,,
50,3000,0.242856264,0.257470131,26.60487556,2.718468904,,
50,3500,0.290658712,0.298591852,32.84458756,3.206101179,,
50,4000,0.336886883,0.335958719,39.26480961,3.881591558,,
100,100,0.031857491,0.032355309,0.927219629,0.121725321,,
100,200,0.036459923,0.035047531,1.624738216,0.279276371,,
100,300,0.055950403,0.05272913,2.82983923,0.526129246,,
100,400,0.077477694,0.07767868,4.240905285,0.489150286,,
100,500,0.094467163,0.087201118,5.351420641,0.657176018,,
100,600,0.11184144,0.107048035,6.930132389,0.832077503,,
100,700,0.129885912,0.127914906,8.535575867,0.97037816,,
100,800,0.136270046,0.138841152,10.57523227,1.23239398,,
100,900,0.159267187,0.164704084,12.67010832,1.332029819,,
100,1000,0.178542376,0.178242922,14.50038075,1.538325071,,
100,1200,0.219771385,0.213341236,18.40656114,1.891055584,,
100,1400,0.261449575,0.269836664,24.41145277,2.404979944,,
100,1600,0.304524422,0.307917356,28.97752929,2.482100725,,
100,1800,0.331264973,0.343865871,37.02614784,2.881732941,,
100,2000,0.372554302,0.371912003,39.86142325,3.317999125,,
200,100,0.05664587,0.059992552,2.23553443,0.279723883,,
200,200,0.075395823,0.080306768,5.929924726,0.523851395,,
200,300,0.107373476,0.103941202,6.883934259,0.853338003,,
200,400,0.147963524,0.145951509,10.38215113,1.214572191,,
200,500,0.302990913,0.178539515,14.54895973,1.557435513,,
200,600,0.212712288,0.225996971,17.95056009,1.822955847,,
200,700,0.263385534,0.262121916,22.20593905,2.272090197,,
200,800,0.450516462,0.302201271,28.5495286,2.278063297,,
200,900,0.337524891,0.359720707,31.95168066,2.926178217,,
200,1000,0.368856668,0.387798786,36.7555666,3.181652784,,
200,1200,0.619148731,0.456295252,48.19948602,3.900886774,,
200,1400,0.716934204,0.557126999,59.25290513,4.604197264,,
200,1600,0.613882542,0.627729416,71.81681013,5.687823772,,
200,1800,0.681860924,0.698650837,86.50715232,6.022682428,,
200,2000,0.771785736,0.76947093,100.050087,7.162320375,,
300,100,0.050401211,0.056607246,3.77706337,0.428558826,,
300,200,0.104305744,0.10538888,9.054643631,0.858795404,,
300,300,0.159167767,0.162549257,17.83918834,1.193969727,,
300,400,0.219164371,0.239696264,18.16985989,1.826065779,,
300,500,0.268671036,0.284118652,24.87935829,2.35326004,,
300,600,0.331380367,0.350366831,31.50453067,2.94801569,,
300,700,0.406294107,0.403409958,38.67970371,3.568231821,,
300,800,0.455507755,0.461101294,46.49650264,3.797621489,,
300,900,0.529351473,0.522459269,54.95491457,4.538501501,,
300,1000,0.575593948,0.599731207,64.07348251,5.423325539,,
300,1200,0.690196514,0.700944901,89.66243863,5.633719683,,
300,1400,0.813727856,0.837986946,104.2990651,7.333981276,,
300,1600,0.938052654,0.945419073,126.2657313,8.409774065,,
300,1800,1.049273968,1.07469058,149.6316319,9.475892782,,
300,2000,1.182626247,1.186512232,176.210937,11.49843311,,
400,100,0.13868165,0.140588284,6.110583544,0.614329338,,
400,200,0.15796876,0.144603729,13.65926361,1.336219072,,
400,300,0.220832825,0.235695124,21.40184307,1.931738138,,
400,400,0.29712677,0.311873198,40.55085611,2.293934107,,
400,500,0.372652531,0.380171299,37.05772161,3.084343195,,
400,600,0.613395214,0.468901157,47.56763339,3.866512299,,
400,700,0.721254826,0.541828632,58.40419579,4.479339361,,
400,800,0.613694429,0.630716801,71.23617959,5.563372374,,
400,900,0.696674347,0.70564723,83.46136808,6.00463438,,
400,1000,0.77746439,0.789300203,95.82312322,6.748855591,,
400,1200,0.940152884,0.946519852,125.0206273,8.460064173,,
400,1400,1.115912676,1.130852699,157.0590045,9.871236086,,
400,1600,1.319564581,1.304731369,207.2640913,10.77233028,,
400,1800,1.413905382,1.463991642,226.3997886,13.48158765,,
400,2000,1.591131687,1.608402729,261.1309004,14.84341955,,
500,100,0.095963955,0.101201534,7.026415825,0.769530535,,
500,200,0.238914967,0.166221619,17.0170505,1.567868948,,
500,300,0.256937742,0.259737253,27.86735106,2.172213793,,
500,400,0.34579134,0.47184515,39.23188639,2.911666155,,
500,500,0.432747364,0.438071251,68.60150337,3.200205088,,
500,600,0.507616758,0.530180454,58.74109554,4.482060432,,
500,700,0.607777834,0.618450642,74.33085942,5.487720251,,
500,800,0.712678194,0.748639822,89.18644714,6.328942537,,
500,900,0.962768078,0.8118577,103.6824193,7.033650637,,
500,1000,0.876026392,0.88865304,124.918097,7.654714346,,
500,1200,1.061210394,1.07260108,154.7628562,9.269521713,,
500,1400,1.23613143,1.261797428,194.6113024,11.19270372,,
500,1600,1.414849997,1.451322317,236.439008,13.3298564,,
500,1800,1.608115673,1.658743143,279.2008011,15.96270466,,
500,2000,1.775243521,1.786077261,355.4514937,14.79923487,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,50,15.76715016
,,,,,,100,39.86142325
,,,,,,200,100.050087
,,,,,,300,176.210937
,,,,,,400,261.1309004
,,,,,,500,355.4514937
